 # l_c   lmin  lmax   D_l      +dD_l     -dD_l
 174.0   174   174  4769.416   434.107   391.104
 175.0   175   175  5168.590   464.296   420.582
 176.0   176   176  5042.494   450.628   407.146
 177.0   177   177  4985.611   448.102   403.810
 178.0   178   178  4863.898   436.750   393.568
 179.0   179   179  6188.416   539.365   488.415
 180.0   180   180  5289.113   465.866   421.874
 181.0   181   181  3997.270   364.667   329.919
 182.0   182   182  4748.363   425.680   382.544
 183.0   183   183  5022.718   446.710   404.975
 184.0   184   184  5185.964   453.176   411.806
 185.0   185   185  5753.375   493.162   446.941
 186.0   186   186  5169.063   445.146   404.154
 187.0   187   187  5124.351   446.393   404.450
 188.0   188   188  5747.389   491.323   445.631
 189.0   189   189  6391.326   539.476   488.993
 190.0   190   190  5557.854   477.438   433.017
 191.0   191   191  5502.513   473.061   428.962
 192.0   192   192  5839.521   497.971   453.324
 193.0   193   193  5404.419   458.265   415.710
 194.0   194   194  5533.906   470.103   427.391
 195.0   195   195  4717.726   408.067   368.925
 196.0   196   196  5206.501   439.404   398.042
 197.0   197   197  5600.788   473.058   430.094
 198.0   198   198  5609.370   472.106   429.184
 199.0   199   199  5265.067   441.919   401.423
 200.0   200   200  5657.013   471.189   427.733
 201.0   201   201  5527.387   465.382   422.760
 202.0   202   202  5772.965   478.679   434.954
 203.0   203   203  5989.854   492.249   447.293
 204.0   204   204  5423.636   444.424   403.826
 205.0   205   205  5616.578   461.312   419.251
 206.0   206   206  5451.179   450.138   409.965
 207.0   207   207  4968.814   412.222   374.869
 208.0   208   208  5194.487   423.458   386.688
 209.0   209   209  4866.433   401.923   364.875
 210.0   210   210  5895.886   474.948   433.729
 211.0   211   211  5365.850   436.845   397.897
 212.0   212   212  5974.871   483.413   440.412
 213.0   213   213  5762.505   460.825   420.610
 214.0   214   214  5282.199   432.491   393.450
 215.0   215   215  6478.059   512.229   466.359
 216.0   216   216  5722.782   461.338   421.293
 217.0   217   217  5392.009   437.214   397.309
 218.0   218   218  5755.432   459.623   418.130
 219.0   219   219  5506.092   443.617   404.094
 220.0   220   220  6431.579   505.410   461.122
 221.0   221   221  6042.032   483.583   439.392
 222.0   222   222  6038.836   479.002   436.547
 223.0   223   223  5972.202   472.313   431.025
 224.0   224   224  5655.070   451.245   412.508
 225.0   225   225  5549.092   440.017   402.647
 226.0   226   226  5945.183   462.346   423.778
 227.0   227   227  5891.159   462.459   422.861
 228.0   228   228  5151.417   410.318   375.998
 229.0   229   229  5303.918   416.610   380.054
 230.0   230   230  5736.394   445.580   407.533
 231.0   231   231  5690.058   438.967   402.188
 232.0   232   232  5940.774   453.467   414.237
 233.0   233   233  6061.930   460.849   422.305
 234.0   234   234  4961.359   391.466   359.702
 235.0   235   235  5810.741   448.909   410.943
 236.0   236   236  6394.791   489.774   448.225
 237.0   237   237  5476.747   422.346   386.450
 238.0   238   238  5594.077   430.300   394.487
 239.0   239   239  5649.540   426.453   391.691
 240.0   240   240  5828.883   445.431   408.334
 241.0   241   241  5656.916   431.109   396.669
 242.0   242   242  5534.346   422.165   389.047
 243.0   243   243  5516.399   420.036   383.741
 244.0   244   244  5263.001   397.819   365.596
 245.0   245   245  6380.873   466.488   427.731
 246.0   246   246  5526.023   412.970   379.395
 247.0   247   247  5723.886   425.918   391.251
 248.0   248   248  5958.240   445.570   408.675
 249.0   249   249  4477.678   347.614   318.627
 250.0   250   250  5328.892   401.340   368.551
